Timestamp,What is your major at Cypress College?,Which program is your major aligned with?,Which program do you believe to be the hardest?,Which program do you believe to be the easiest?
10/28/2024 12:21:55,Biology,"Science, Engineering, Math","Science, Engineering, Math",Visual & Performing Arts
10/28/2024 12:22:55,Nursing,Health Science,"Science, Engineering, Math",Business & Computer Information Systems
10/28/2024 12:25:12,Civil Engineering ,Undecided,"Science, Engineering, Math",Kinesiology
10/28/2024 12:26:06,Mechanical Engineer ,"Science, Engineering, Math","Science, Engineering, Math",Visual & Performing Arts
10/28/2024 12:27:14,Nursing,Health Science,Health Science,Language Arts
10/28/2024 12:27:18,Nursing,Health Science,Health Science,Language Arts
10/28/2024 12:27:27,Nursing,Health Science,"Science, Engineering, Math",Visual & Performing Arts
10/28/2024 12:28:04,Mechanical engineerinh,"Science, Engineering, Math","Science, Engineering, Math",Visual & Performing Arts
10/28/2024 12:28:19,mechanical engineering ,"Science, Engineering, Math","Science, Engineering, Math",Visual & Performing Arts
10/28/2024 12:29:20,Nursing ,Health Science,Health Science,Kinesiology
10/28/2024 12:29:30,Engineering,"Science, Engineering, Math","Science, Engineering, Math",Visual & Performing Arts
10/28/2024 12:30:30,Psychology,Health Science,"Science, Engineering, Math",Visual & Performing Arts
10/28/2024 12:30:40,Biology,Health Science,"Science, Engineering, Math",Language Arts
10/28/2024 12:30:48,Nursing ,Health Science,Health Science,Visual & Performing Arts
10/28/2024 12:31:03,Biology,"Science, Engineering, Math","Science, Engineering, Math",Visual & Performing Arts
10/28/2024 12:31:45,Nursing,Health Science,Health Science,Language Arts
10/28/2024 12:33:11,Culinary ,Business & Computer Information Systems,Business & Computer Information Systems,Business & Computer Information Systems
10/28/2024 12:33:13,Biology,"Science, Engineering, Math","Science, Engineering, Math",Visual & Performing Arts
10/28/2024 12:34:40,biology ,"Science, Engineering, Math","Science, Engineering, Math",Business & Computer Information Systems
10/28/2024 12:34:56,Business ,Business & Computer Information Systems,Health Science,Business & Computer Information Systems
10/28/2024 12:37:26,bio,"Science, Engineering, Math","Science, Engineering, Math",Visual & Performing Arts
10/28/2024 12:37:56,NA,Undecided,Health Science,Visual & Performing Arts
10/28/2024 12:38:13,Automotive Technology ,Career Technical Education,"Science, Engineering, Math",Kinesiology
10/28/2024 12:38:23,Mortuary science ,Health Science,"Science, Engineering, Math",Visual & Performing Arts
10/28/2024 12:38:37,Graphic Designer,Visual & Performing Arts,Language Arts,Language Arts
10/28/2024 12:39:40,Civil Engineering,"Science, Engineering, Math","Science, Engineering, Math",Social Sciences
10/28/2024 12:41:44,Nursing ,Health Science,"Science, Engineering, Math",Language Arts
10/28/2024 12:44:00,Civil engineering ,Undecided,"Science, Engineering, Math",Visual & Performing Arts
10/28/2024 12:45:30,Biology,"Science, Engineering, Math","Science, Engineering, Math",Business & Computer Information Systems
10/28/2024 12:47:24,Math,"Science, Engineering, Math","Science, Engineering, Math",Social Sciences
10/28/2024 12:47:57,Mortuary Science,Health Science,Health Science,Visual & Performing Arts
10/28/2024 12:49:52,business ,Business & Computer Information Systems,"Science, Engineering, Math",Visual & Performing Arts
10/28/2024 12:50:40,computer science,Business & Computer Information Systems,"Science, Engineering, Math",Visual & Performing Arts
10/28/2024 12:52:25,Computer Science,Business & Computer Information Systems,Business & Computer Information Systems,Kinesiology
10/28/2024 12:52:55,Undecided ,Undecided,Health Science,Visual & Performing Arts
10/28/2024 12:53:44,Nursing ,Health Science,Health Science,Language Arts
10/28/2024 12:54:45,Health Science ,Visual & Performing Arts,"Science, Engineering, Math","Science, Engineering, Math"
10/28/2024 12:56:17,Undecided,Undecided,Business & Computer Information Systems,Visual & Performing Arts
10/28/2024 12:56:24,Biochemistry ,"Science, Engineering, Math","Science, Engineering, Math",Visual & Performing Arts
